"año","MUNICIPIO","CÓDIGO DANE","INSTITUCION","CÓDIGO DANE SEDE","SEDE","ZONA","SECTOR","Prescolar 1","Primero","Segundo","Tercero","Cuarto","Quinto","Sexto","Séptimo","Octavo","Noveno","Décimo","Once","intr","pfc 1","pfc 2","pfc 3","pfc 4","ciclo i","ciclo ii","ciclo iii","ciclo iv","ciclo v","ciclo vi","Total IE"
"2.022","ALMEIDA","315022000196","I.E. ENRIQUE SUAREZ","315022000196","I.E. ENRIQUE SUAREZ - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"22","20","18","15","16","12",,,,,,,,,,,,"103"
"2.022","ALMEIDA","315022000197","I.E. ENRIQUE SUAREZ","115022000014","CONC URB MIX ENRIQUE SUAREZ","URBANA","OFICIAL","10","11","4","6","8","10",,,,,,,,,,,,,,,,,,"49"
"2.022","ALMEIDA","315022000198","I.E. ENRIQUE SUAREZ","215022000078","ESC EL ROSAL","RURAL","OFICIAL","1",,"1","1","4","1",,,,,,,,,,,,,,,,,,"8"
"2.022","ALMEIDA","315022000199","I.E. ENRIQUE SUAREZ","215022000086","ESC SAN CARLOS","RURAL","OFICIAL",,"3",,"1",,"1",,,,,,,,,,,,,,,,,,"5"
"2.022","ALMEIDA","315022000200","I.E. ENRIQUE SUAREZ","215022000094","ESC UMBAVITA","RURAL","OFICIAL","1","1","3","1",,"2",,,,,,,,,,,,,,,,,,"8"
"2.022","ALMEIDA","315022000201","I.E. ENRIQUE SUAREZ","215022000108","COL DE EDUC BAS MOLINOS","RURAL","OFICIAL","2","3",,"1","1","2",,,,,,,,,,,,,,,,,,"9"
"2.022","ALMEIDA","315022000202","I.E. ENRIQUE SUAREZ","215022000302","ESC BELEN JOSE SALVADOR DIAZ PERILLA","RURAL","OFICIAL","1",,"4","1","1","2",,,,,,,,,,,,,,,,,,"9"
"2.022","ALMEIDA","315022000203","I.E. ENRIQUE SUAREZ","215022000116","ESC TIBAITA","RURAL","OFICIAL","3","2","1",,,"3",,,,,,,,,,,,,,,,,,"9"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA - SEDE PRINCIPAL","URBANA","OFICIAL",,,,,,,"273","244","160","197","171","104",,,,,,,,,,,,"1,149"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","115047000027","CONC KENNEDY","URBANA","OFICIAL","129","125","123","125","142","135",,,,,,,,,,,,,,,,,,"779"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000226","ESC SUSACA","RURAL","OFICIAL","3","6","2","3","7","6",,,,,,,,,,,,,,,,,,"27"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000609","ESC CORTADERAL","RURAL","OFICIAL","2","4","2","3","2","1",,,,,,,,,,,,,,,,,,"14"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000234","ESC HATOLAGUNA","RURAL","OFICIAL","4","2","7","7","3","5",,,,,,,,,,,,,,,,,,"28"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000293","ESC LOS POZOS","RURAL","OFICIAL","1","2","4","1",,"3",,,,,,,,,,,,,,,,,,"11"
"2.022","AQUITANIA","115047000019","I.E. TECNICA RAMON IGNACIO AVELLA","215047000196","ESC CAJON","RURAL","OFICIAL","2","3","2","3","2","1",,,,,,,,,,,,,,,,,,"13"
